Indicator,Cities,Country,Region,Percentage_Value,Estimate_source,ObjectId
Proportion of population with access to public transport,Pozarevac,Serbia,Northern America and Europe,36.97,UN-Habitat Urban Indicators Database,1
Proportion of population with access to public transport,Herat,Afghanistan,Central Asia and Southern Asia,23.38,UN-Habitat Urban Indicators Database,2
Proportion of population with access to public transport,Sidi slimane,Morocco,Western Asia and Northern Africa ,36.99,UN-Habitat Urban Indicators Database,3
Proportion of population with access to public transport,Samarinda,Indonesia,Eastern Asia and South-Eastern Asia,37,UN-Habitat Urban Indicators Database,4
Proportion of population with access to public transport,Phattalung,Thailand,Eastern Asia and South-Eastern Asia,37.07,UN-Habitat Urban Indicators Database,5
Proportion of population with access to public transport,Naypyitaw,Myanmar,Eastern Asia and South-Eastern Asia,37.43,UN-Habitat Urban Indicators Database,6
Proportion of population with access to public transport,"Hangzhou, Zhejiang",China,Eastern Asia and South-Eastern Asia,37.66,UN-Habitat Urban Indicators Database,7
Proportion of population with access to public transport,Chumpon,Thailand,Eastern Asia and South-Eastern Asia,37.81,UN-Habitat Urban Indicators Database,8
Proportion of population with access to public transport,Ipoh,Malaysia,Eastern Asia and South-Eastern Asia,38.06,UN-Habitat Urban Indicators Database,9
Proportion of population with access to public transport,Piranshahr,Iran,Central Asia and Southern Asia,38.09,UN-Habitat Urban Indicators Database,10
Proportion of population with access to public transport,Lagos,Nigeria,Sub-Saharan Africa,38.11,UN-Habitat Urban Indicators Database,11
Proportion of population with access to public transport,Tiaret,Algeria,Western Asia and Northern Africa ,38.42,UN-Habitat Urban Indicators Database,12
Proportion of population with access to public transport,Awassa,Ethiopia,Sub-Saharan Africa,38.54,UN-Habitat Urban Indicators Database,13
Proportion of population with access to public transport,Targu Jiu,Romania,Northern America and Europe,38.54,UN-Habitat Urban Indicators Database,14
Proportion of population with access to public transport,Louga,Senegal,Sub-Saharan Africa,38.7,UN-Habitat Urban Indicators Database,15
Proportion of population with access to public transport,MBour,Senegal,Sub-Saharan Africa,38.87,UN-Habitat Urban Indicators Database,16
Proportion of population with access to public transport,Sari,Iran,Central Asia and Southern Asia,38.9,UN-Habitat Urban Indicators Database,17
Proportion of population with access to public transport,Oskemen,Kazakhstan,Central Asia and Southern Asia,38.95,UN-Habitat Urban Indicators Database,18
Proportion of population with access to public transport,"Kuwait (includes all the major cities ?awall?, Al-Farw?n?yah, Al-Fin??s, Al-Jahr?', Jan?b al-Kuwayt, Al-Manqaf, Al-Firdaws and Mubar?k al-Kab?r) ",Kuwait,Western Asia and Northern Africa ,39.02,UN-Habitat Urban Indicators Database,19
Proportion of population with access to public transport,Almaty,Kazakhstan,Central Asia and Southern Asia,39.05,UN-Habitat Urban Indicators Database,20
Proportion of population with access to public transport,Fez,Morocco,Western Asia and Northern Africa ,39.1,UN-Habitat Urban Indicators Database,21
Proportion of population with access to public transport,Chicago,United States,Northern America and Europe,39.14,UN-Habitat Urban Indicators Database,22
Proportion of population with access to public transport,Kale,Myanmar,Eastern Asia and South-Eastern Asia,39.74,UN-Habitat Urban Indicators Database,23
Proportion of population with access to public transport,Shadegan,Iran,Central Asia and Southern Asia,39.97,UN-Habitat Urban Indicators Database,24
Proportion of population with access to public transport,Taizz,Yemen,Western Asia and Northern Africa ,40.32,UN-Habitat Urban Indicators Database,25
Proportion of population with access to public transport,Mexico City,Mexico,Latin America and the Caribbean,40.43,UN-Habitat Urban Indicators Database,26
Proportion of population with access to public transport,Aktobe,Kazakhstan,Central Asia and Southern Asia,40.52,UN-Habitat Urban Indicators Database,27
Proportion of population with access to public transport,"Zunyi, Guizhou",China,Eastern Asia and South-Eastern Asia,40.77,UN-Habitat Urban Indicators Database,28
Proportion of population with access to public transport,Blida,Algeria,Western Asia and Northern Africa ,41.07,UN-Habitat Urban Indicators Database,29
